parent_level,cell_group,cell_annotation,markers
Lineage_markers,Major_cells,Astrocyte,CLU
Lineage_markers,Major_cells,Astrocyte,SLC1A2
Lineage_markers,Major_cells,Astrocyte,SLC1A3
Lineage_markers,Major_cells,Astrocyte,SPARCL1
Lineage_markers,Major_cells,Astrocyte,NTRK2
Lineage_markers,Major_cells,Astrocyte,AQP4
Lineage_markers,Major_cells,Astrocyte,CPE
Lineage_markers,Major_cells,Astrocyte,GLUL
Lineage_markers,Major_cells,Astrocyte,F3
Lineage_markers,Major_cells,Astrocyte,GPM6A
Lineage_markers,Major_cells,Astrocyte,PLPP3
Lineage_markers,Major_cells,Astrocyte,FAM107A
Lineage_markers,Major_cells,Astrocyte,ETNPPL
Lineage_markers,Major_cells,Astrocyte,DTNA
Lineage_markers,Major_cells,Astrocyte,ATP1B2
Lineage_markers,Major_cells,Astrocyte,SERPINE2
Lineage_markers,Major_cells,Astrocyte,PON2
Lineage_markers,Major_cells,Astrocyte,ATP1A2
Lineage_markers,Major_cells,Astrocyte,AGT
Lineage_markers,Major_cells,Astrocyte,MGST1
Lineage_markers,Major_cells,Astrocyte,GPM6B
Lineage_markers,Major_cells,Astrocyte,GJA1
Lineage_markers,Major_cells,Astrocyte,S100B
Lineage_markers,Major_cells,Astrocyte,NDRG2
Lineage_markers,Major_cells,Astrocyte,ADGRV1
Lineage_markers,Major_cells,B_Cells,CD79A
Lineage_markers,Major_cells,B_Cells,MS4A1
Lineage_markers,Major_cells,B_Cells,CD37
Lineage_markers,Major_cells,B_Cells,CD79B
Lineage_markers,Major_cells,B_Cells,EEF1A1
Lineage_markers,Major_cells,B_Cells,CD52
Lineage_markers,Major_cells,B_Cells,IGKC
Lineage_markers,Major_cells,B_Cells,EEF1B2
Lineage_markers,Major_cells,B_Cells,FAU
Lineage_markers,Major_cells,B_Cells,BANK1
Lineage_markers,Major_cells,B_Cells,HLA-DQB1
Lineage_markers,Major_cells,B_Cells,NOP53
Lineage_markers,Major_cells,B_Cells,CD74
Lineage_markers,Major_cells,B_Cells,HLA-DRA
Lineage_markers,Major_cells,B_Cells,HLA-DQA1
Lineage_markers,Major_cells,B_Cells,VPREB3
Lineage_markers,Major_cells,B_Cells,IGHM
Lineage_markers,Major_cells,B_Cells,RACK1
Lineage_markers,Major_cells,B_Cells,CD48
Lineage_markers,Major_cells,B_Cells,UBA52
Lineage_markers,Major_cells,B_Cells,CXCR4
Lineage_markers,Major_cells,B_Cells,HLA-DRB1
Lineage_markers,Major_cells,B_Cells,SMIM14
Lineage_markers,Major_cells,B_Cells,LIMD2
Lineage_markers,Major_cells,B_Cells,IGLC2
Lineage_markers,Major_cells,Dendritic_Cells,CD74
Lineage_markers,Major_cells,Dendritic_Cells,HLA-DRA
Lineage_markers,Major_cells,Dendritic_Cells,HLA-DQB1
Lineage_markers,Major_cells,Dendritic_Cells,HLA-DQA1
Lineage_markers,Major_cells,Dendritic_Cells,HLA-DRB1
Lineage_markers,Major_cells,Dendritic_Cells,RNASE6
Lineage_markers,Major_cells,Dendritic_Cells,HLA-DMA
Lineage_markers,Major_cells,Dendritic_Cells,SPINT2
Lineage_markers,Major_cells,Dendritic_Cells,CST3
Lineage_markers,Major_cells,Dendritic_Cells,SERPINF1
Lineage_markers,Major_cells,Dendritic_Cells,JAML
Lineage_markers,Major_cells,Dendritic_Cells,LSP1
Lineage_markers,Major_cells,Dendritic_Cells,GPR183
Lineage_markers,Major_cells,Dendritic_Cells,CYBA
Lineage_markers,Major_cells,Dendritic_Cells,IRF8
Lineage_markers,Major_cells,Dendritic_Cells,GRN
Lineage_markers,Major_cells,Dendritic_Cells,VAMP8
Lineage_markers,Major_cells,Dendritic_Cells,MS4A6A
Lineage_markers,Major_cells,Dendritic_Cells,PLAC8
Lineage_markers,Major_cells,Dendritic_Cells,PLEK
Lineage_markers,Major_cells,Dendritic_Cells,PLD4
Lineage_markers,Major_cells,Dendritic_Cells,ARPC1B
Lineage_markers,Major_cells,Dendritic_Cells,UCP2
Lineage_markers,Major_cells,Dendritic_Cells,C1orf162
Lineage_markers,Major_cells,Dendritic_Cells,EEF1B2
Lineage_markers,Major_cells,Endothelial_Cells,IGFBP7
Lineage_markers,Major_cells,Endothelial_Cells,CLDN5
Lineage_markers,Major_cells,Endothelial_Cells,SPARC
Lineage_markers,Major_cells,Endothelial_Cells,GNG11
Lineage_markers,Major_cells,Endothelial_Cells,ITM2A
Lineage_markers,Major_cells,Endothelial_Cells,A2M
Lineage_markers,Major_cells,Endothelial_Cells,IFI27
Lineage_markers,Major_cells,Endothelial_Cells,RGCC
Lineage_markers,Major_cells,Endothelial_Cells,CA2
Lineage_markers,Major_cells,Endothelial_Cells,FKBP1A
Lineage_markers,Major_cells,Endothelial_Cells,IFITM3
Lineage_markers,Major_cells,Endothelial_Cells,ESAM
Lineage_markers,Major_cells,Endothelial_Cells,CCN2
Lineage_markers,Major_cells,Endothelial_Cells,SPARCL1
Lineage_markers,Major_cells,Endothelial_Cells,EPAS1
Lineage_markers,Major_cells,Endothelial_Cells,VWF
Lineage_markers,Major_cells,Endothelial_Cells,INSR
Lineage_markers,Major_cells,Endothelial_Cells,APOLD1
Lineage_markers,Major_cells,Endothelial_Cells,ADGRL4
Lineage_markers,Major_cells,Endothelial_Cells,PODXL
Lineage_markers,Major_cells,Endothelial_Cells,MFSD2A
Lineage_markers,Major_cells,Endothelial_Cells,PECAM1
Lineage_markers,Major_cells,Endothelial_Cells,ABCG2
Lineage_markers,Major_cells,Endothelial_Cells,ANGPT2
Lineage_markers,Major_cells,Endothelial_Cells,TM4SF1
Lineage_markers,Major_cells,Malignant,PTN
Lineage_markers,Major_cells,Malignant,TUBB2B
Lineage_markers,Major_cells,Malignant,CKB
Lineage_markers,Major_cells,Malignant,NOVA1
Lineage_markers,Major_cells,Malignant,TUBA1A
Lineage_markers,Major_cells,Malignant,PTPRZ1
Lineage_markers,Major_cells,Malignant,GPM6B
Lineage_markers,Major_cells,Malignant,GPM6A
Lineage_markers,Major_cells,Malignant,MIR9-1HG
Lineage_markers,Major_cells,Malignant,SOX2
Lineage_markers,Major_cells,Malignant,IGFBP2
Lineage_markers,Major_cells,Malignant,BEX3
Lineage_markers,Major_cells,Malignant,CLU
Lineage_markers,Major_cells,Malignant,DBI
Lineage_markers,Major_cells,Malignant,FXYD6
Lineage_markers,Major_cells,Malignant,MARCKSL1
Lineage_markers,Major_cells,Malignant,MT3
Lineage_markers,Major_cells,Malignant,YWHAE
Lineage_markers,Major_cells,Malignant,NDUFA4
Lineage_markers,Major_cells,Malignant,MAP1B
Lineage_markers,Major_cells,Malignant,FABP7
Lineage_markers,Major_cells,Malignant,CNN3
Lineage_markers,Major_cells,Malignant,SRI
Lineage_markers,Major_cells,Malignant,BCAN
Lineage_markers,Major_cells,Malignant,GAP43
Lineage_markers,Major_cells,Mast,CPA3
Lineage_markers,Major_cells,Mast,TPSAB1
Lineage_markers,Major_cells,Mast,HPGDS
Lineage_markers,Major_cells,Mast,VWA5A
Lineage_markers,Major_cells,Mast,HPGD
Lineage_markers,Major_cells,Mast,SLC18A2
Lineage_markers,Major_cells,Mast,TPSB2
Lineage_markers,Major_cells,Mast,MS4A2
Lineage_markers,Major_cells,Mast,GATA2
Lineage_markers,Major_cells,Mast,RHEX
Lineage_markers,Major_cells,Mast,SAMSN1
Lineage_markers,Major_cells,Mast,ANXA1
Lineage_markers,Major_cells,Mast,HDC
Lineage_markers,Major_cells,Mast,CAPG
Lineage_markers,Major_cells,Mast,KIT
Lineage_markers,Major_cells,Mast,LAPTM4A
Lineage_markers,Major_cells,Mast,RGS13
Lineage_markers,Major_cells,Mast,S100A4
Lineage_markers,Major_cells,Mast,CLU
Lineage_markers,Major_cells,Mast,IL1RL1
Lineage_markers,Major_cells,Mast,GRAP2
Lineage_markers,Major_cells,Mast,S100A6
Lineage_markers,Major_cells,Mast,PRDX6
Lineage_markers,Major_cells,Mast,ALOX5AP
Lineage_markers,Major_cells,Mast,CD9
Lineage_markers,Major_cells,Monocyte,LYZ
Lineage_markers,Major_cells,Monocyte,S100A9
Lineage_markers,Major_cells,Monocyte,S100A8
Lineage_markers,Major_cells,Monocyte,AIF1
Lineage_markers,Major_cells,Monocyte,SERPINA1
Lineage_markers,Major_cells,Monocyte,FTL
Lineage_markers,Major_cells,Monocyte,S100A11
Lineage_markers,Major_cells,Monocyte,TYROBP
Lineage_markers,Major_cells,Monocyte,FCER1G
Lineage_markers,Major_cells,Monocyte,CTSS
Lineage_markers,Major_cells,Monocyte,FTH1
Lineage_markers,Major_cells,Monocyte,NEAT1
Lineage_markers,Major_cells,Monocyte,SAT1
Lineage_markers,Major_cells,Monocyte,CTSB
Lineage_markers,Major_cells,Monocyte,CD14
Lineage_markers,Major_cells,Monocyte,VCAN
Lineage_markers,Major_cells,Monocyte,TYMP
Lineage_markers,Major_cells,Monocyte,CEBPB
Lineage_markers,Major_cells,Monocyte,SLC11A1
Lineage_markers,Major_cells,Monocyte,C1orf162
Lineage_markers,Major_cells,Monocyte,S100A10
Lineage_markers,Major_cells,Monocyte,LST1
Lineage_markers,Major_cells,Monocyte,CD163
Lineage_markers,Major_cells,Monocyte,TGFBI
Lineage_markers,Major_cells,Monocyte,SRGN
Lineage_markers,Major_cells,Mural_Cells,SPARC
Lineage_markers,Major_cells,Mural_Cells,IGFBP7
Lineage_markers,Major_cells,Mural_Cells,CALD1
Lineage_markers,Major_cells,Mural_Cells,FN1
Lineage_markers,Major_cells,Mural_Cells,COL1A2
Lineage_markers,Major_cells,Mural_Cells,COL4A1
Lineage_markers,Major_cells,Mural_Cells,COL4A2
Lineage_markers,Major_cells,Mural_Cells,ITGB1
Lineage_markers,Major_cells,Mural_Cells,BGN
Lineage_markers,Major_cells,Mural_Cells,DCN
Lineage_markers,Major_cells,Mural_Cells,RGS5
